Year,Mortgage_Rate,Consumer_Inflation_Rate
2015.9166666666667,3.94,0.4363182169185187
2016.0,3.96,0.6387247515364791
2016.0833333333333,3.87,1.2375025026943876
2016.1666666666667,3.66,0.8472775790126619
2016.25,3.69,0.8916160965521946
2016.3333333333333,3.61,1.1726257503534843
2016.4166666666667,3.6,1.0784764621246223
2016.5,3.57,1.0792865347959424
2016.5833333333333,3.44,0.8683633430518256
2016.6666666666667,3.44,1.0553158595656864
2016.75,3.46,1.5486446201652182
2016.8333333333333,3.47,1.685924966243646
2016.9166666666667,3.77,1.6843334719788938
2017.0,4.2,2.0507989115119862
2017.0833333333333,4.15,2.5103933482571117
2017.1666666666667,4.17,2.8103616813294208
2017.25,4.2,2.44119623655914
2017.3333333333333,4.05,2.176223471915395
2017.4166666666667,4.01,1.8563431667619756
2017.5,3.9,1.640565809959127
2017.5833333333333,3.97,1.7251073506566073
2017.6666666666667,3.88,1.92812155729698
2017.75,3.81,2.1805652303711787
2017.8333333333333,3.9,2.020757753132485
2017.9166666666667,3.92,2.172493864295566
2018.0,3.95,2.129930719552253
2018.0833333333333,4.03,2.151318868063945
2018.1666666666667,4.33,2.263468931091861
2018.25,4.44,2.3309497646499366
2018.3333333333333,4.47,2.4709963021052994
2018.4166666666667,4.59,2.781921607842497
2018.5,4.57,2.8075506935940187
2018.5833333333333,4.53,2.854124785561929
2018.6666666666667,4.55,2.6429238568742575
2018.75,4.63,2.332055105808828
2018.8333333333333,4.83,2.492032470218053
2018.9166666666667,4.87,2.147328577667773
2019.0,4.64,2.0023809043401064
2019.0833333333333,4.46,1.4875893578291333
2019.1666666666667,4.37,1.5188615351321877
2019.25,4.27,1.8831863513063984
2019.3333333333333,4.14,2.000583470209061
2019.4166666666667,4.07,1.7959105553606136
2019.5,3.8,1.671194894390049
2019.5833333333333,3.77,1.826331335037068
2019.6666666666667,3.62,1.7376412106666406
2019.75,3.61,1.6844977040391562
2019.8333333333333,3.69,1.7339736996186295
2019.9166666666667,3.7,2.092290394862917
2020.0,3.72,2.3195274699624457
2020.0833333333333,3.62,2.599767976845202
2020.1666666666667,3.47,2.3413166797595197
2020.25,3.45,1.4940399642909163
2020.3333333333333,3.31,0.3130472940411133
2020.4166666666667,3.23,0.1982013035848551
2020.5,3.16,0.7166562831830481
2020.5833333333333,3.02,0.9968647625897997
2020.6666666666667,2.94,1.2810698495523853
2020.75,2.89,1.3910228912373812
2020.8333333333333,2.83,1.2303863428671624
2020.9166666666667,2.77,1.1757452138405844
2021.0,2.68,1.3204191315779434
2021.0833333333333,2.74,1.3738437137002402
2021.1666666666667,2.81,1.6698167791706853
2021.25,3.08,2.6678187820641908
2021.3333333333333,3.06,4.133077115360573
2021.4166666666667,2.96,4.918257089467626
2021.5,2.98,5.295632620349999
2021.5833333333333,2.87,5.245169381309234
2021.6666666666667,2.84,5.152015301793966
2021.75,2.9,5.351215590949132
2021.8333333333333,3.07,6.235042390298062
2021.9166666666667,3.07,6.901970403700863
2022.0,3.1,7.174340285065539
2022.0833333333333,3.45,7.558805726967832
2022.1666666666667,3.76,7.937278766517819
2022.25,4.17,8.572204966013853
2022.3333333333333,4.98,8.231750770777225
2022.4166666666667,5.23,8.538171195642065
2022.5,5.52,8.979361103105798
2022.5833333333333,5.41,8.462576727730099
2022.6666666666667,5.22,8.222579178218826
2022.75,6.11,8.192106896425821
2022.8333333333333,6.9,7.758813957693
